"","Year","HEAD_ID","HSHD_MBR_TOTAL_CNT","NUM_BEDRM_CNT","TOTAL_DPNDNT_CNT","TOTAL_ANNL_INCM_AMNT","ADLT_AGE_18_21_CNT","ADLT_AGE_22_25_CNT","ADLT_AGE_26_35_CNT","ADLT_AGE_36_49_CNT","ADLT_AGE_50_61_CNT","ADLT_AGE_62_85_CNT","ADLT_AGE_ABOVE85_CNT","DSBLD_CHLDRN_CNT","HEAD_AGE_YR_CNT","CHLDRN_AGE_0_3_CNT","CHLDRN_AGE_4_5_CNT","CHLDRN_AGE_6_12_CNT","CHLDRN_AGE_13_17_CNT","CHLDRN_MBR_CNT","HEAD_GNDR_CD","HEAD_ELDLY_INDR","HEAD_DSBLTY_INDR","HEAD_RACE_CD","HEAD_ETHNCY_CD","H6_CD","CHLDRN_MBR_INDR","CNTRL_CITY_CD","GROSS_RENT_AMNT","ASSTN_PYMNT_AMNT","TOTAL_FMLY_CRBTN_AMNT","PVRTY_PRCNT","MNRTY_PRCNT","BLACK_PRCNT","HISPANIC_PRCNT","WHITE_PRCNT","pgm_type_edited","total_annl_incm_amnt_rounded","gross_rent_amnt_rounded","asstn_pymnt_amnt_rounded","total_fmly_crbtn_amnt_rounded"
"1",2009,6169,1,2,0,11700,0,0,0,0,0,1,0,0,75,0,0,0,0,0,"F",1,0,"White",2,1,0,1,"1124","687","437",4.939,4.41,1.455,0.15,95.59,"HCVP",11700,"1100","700","450"
"2",2009,6359,1,1,0,10645,0,0,0,0,0,1,0,0,74,0,0,0,0,0,"F",1,0,"White",2,1,0,0,"889","718","171",4.41,9.442,0.878,4.391,90.558,"HCVP",10600,"900","700","150"
"3",2009,6700,2,2,0,18948,0,0,0,0,0,2,0,0,73,0,0,0,0,0,"M",1,0,"White",2,1,0,1,".",".","461",9.539,1.4,0,0.306,98.6,"Public Housing",18900,".",".","450"
"4",2009,6883,1,1,0,9468,0,0,0,0,0,1,0,0,67,0,0,0,0,0,"F",1,0,"White",2,1,0,0,"734","507","227",25.298,16.115,4.613,1.639,83.885,"HCVP",9500,"750","500","250"
"5",2009,8056,1,1,0,4882,0,0,0,0,0,1,0,0,62,0,0,0,0,0,"F",1,0,"White",2,1,0,0,".",".","112",43.907,78.665,50.815,5.42,21.335,"Public Housing",4900,".",".","100"
"6",2009,8691,1,1,0,14033,0,0,0,0,1,0,0,0,52,0,0,0,0,0,"F",0,1,"White",2,2,0,2,".",".","299",12.634,6.637,0.789,1.55,93.363,"Public Housing",14000,".",".","300"
"7",2009,9049,1,1,0,0,0,0,0,1,0,0,0,0,47,0,0,0,0,0,"M",0,0,"White",2,3,0,2,"809","790","19",13.48,3.315,0.268,0.049,96.685,"HCVP",0,"800","800","0"
"8",2009,9418,1,1,0,11046,0,0,0,0,0,1,0,0,72,0,0,0,0,0,"F",1,0,"White",2,1,0,0,".",".","246",7.555,3.9,0,2.067,96.1,"Public Housing",11000,".",".","250"
"9",2009,11334,2,2,1,11708,0,0,0,1,0,0,0,0,48,0,0,0,1,1,"F",0,1,"White",2,5,1,0,"1043","772","271",11.285,3.979,0.824,0.466,96.021,"HCVP",11700,"1050","750","250"
"10",2009,11545,3,3,2,27102,0,0,1,0,0,0,0,0,32,0,0,2,0,2,"F",0,0,"White",2,6,1,0,"1030","392","638",16.914,12.439,4.282,4.201,87.561,"HCVP",27100,"1050","400","650"
"11",2009,12369,2,2,1,15172,1,0,0,1,0,0,0,0,44,0,0,0,0,0,"F",0,0,"White",2,3,0,0,".",".","367",16.914,12.439,4.282,4.201,87.561,"Public Housing",15200,".",".","350"
"12",2009,13096,1,2,0,8567,0,0,0,0,0,1,0,0,66,0,0,0,0,0,"M",1,0,"Asian",2,1,0,0,"709","505","204",31.223,89.318,21.013,54.097,10.682,"HCVP",8600,"700","500","200"
